A100D-20C,20,4,"0, 20, 40, 60",,
A100D-16C,16,4,"0, 24, 40, 64",,
A100D-10C,10,8,"0, 10, 20, 30, 40, 50, 60, 70",,
A100D-8C,8,8,"0, 12, 20, 32, 40, 52, 60, 72",,
A100D-5C,5,16,"0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75",,
A100D-4C,4,16,"0, 6, 10, 16, 20, 26, 30, 36, 40, 46, 50, 56, 60, 66, 70, 76",,
,,,,,
GPU Memory,80 GB,,,,
NVIDIA GPUs,NVIDIA A100 HGX 80GB,,,,
Architecture ,Ampere,,,,
vGPU Profiles,FrameBuffer,Maximum vGPUs per GPU in Mixed-Size Mod,Supported Placement IDs,,
A100DX-80,80,1,0,,
A100DX-40C,40,2,"0, 40",,
A100DX-20C,20,4,"0, 20, 40, 60",,
A100DX-16C,16,4,"0, 24, 40, 64",,
A100DX-10C,10,8,"0, 10, 20, 30, 40, 50, 60, 70",,
A100DX-8C,8,8,"0, 12, 20, 32, 40, 52, 60, 72",,
A100DX-5C,5,16,"0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75",,
A100DX-4C,4,16,"0, 6, 10, 16, 20, 26, 30, 36, 40, 46, 50, 56, 60, 66, 70, 76",,
,,,,,
GPU Memory,40 GB,,,,
NVIDIA GPUs,NVIDIA A100 PCIe 40GB,,,,
Architecture ,Ampere,,,,
vGPU Profiles,FrameBuffer,Maximum vGPUs per GPU in Mixed-Size Mod,Supported Placement IDs,,
A100-40C,40,1,0,,
A100-20C,20,2,"0, 20",,
A100-10C,10,4,"0, 10, 20, 30",,
A100-8C,8,4,"0, 12, 20, 32",,
A100-5C,5,8,"0, 5, 10, 15, 20, 25, 30, 35",,
A100-4C,4,8,"0, 6, 10, 16, 20, 26, 30, 36",,
